label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_via_14	1	VIA_SA_15743	via		{767.6330 590.7050} {767.8950 590.8150}	n54904			detail_route	VIA12SQ_C	n54904
offgrid_error_15	0	15	drc_error		{800.3430 596.1310} {800.3930 596.3330}	NA	NA	NA	NA	NA	NA
drc_object_15	1	n5567	net		{793.3210 596.1010} {800.4870 600.0390}						
near_cell_15	1	U6816	cell		{797.9730 596.8100} {799.7230 598.6270}		AO22X1_HVT	saed32hvt_tt.modified_lef/AO22X1_HVT			
near_cell_15	2	U6818	cell		{800.6890 593.4660} {802.4600 595.2830}		OA22X1_HVT	saed32hvt_tt.modified_lef/OA22X1_HVT			
near_cell_15	3	U6927	cell		{801.3170 596.8100} {803.3710 598.6270}		AO221X1_HVT	saed32hvt_tt.modified_lef/AO221X1_HVT			
near_cell_15	4	U45780	cell		{798.2770 593.4660} {800.0240 595.2690}		NBUFFX4_HVT	saed32hvt_tt.modified_lef/NBUFFX4_HVT			
near_pin_15	1	U6697/A1	pin	M1 CO	{800.5550 596.0250} {800.7270 596.2090}	n5568					
near_pin_15	2	U6697/VSS	pin	M1 CO	{799.4560 596.4530} {800.9760 596.8700}	VSS					
near_shape_15	1	PATH_25_50	shape	M8	{799.5000 13.0000} {800.5000 857.9840}	VDD			stripe		VDD
near_shape_15	2	PATH_13_103	shape	M2	{799.8000 13.0000} {800.2000 857.9840}	VDD			stripe		VDD
near_shape_15	3	PATH_13_98343	shape	M2	{800.3400 596.2040} {800.3960 596.7160}	n5567			detail_route		n5567
near_via_15	1	VIA_SA_15717	via		{800.6170 596.1770} {800.8790 596.2870}	n5568			detail_route	VIA12SQ_C	n5568
offgrid_error_16	0	16	drc_error		{807.0310 602.8190} {807.0810 603.0210}	NA	NA	NA	NA	NA	NA
drc_object_16	1	n5613	net		{793.3210 601.9910} {807.1110 603.3830}						
near_cell_16	1	U6701	cell		{807.8530 600.1540} {809.6030 601.9710}		OA21X1_HVT	saed32hvt_tt.modified_lef/OA21X1_HVT			
near_cell_16	2	U8929	cell		{804.9650 601.7550} {806.5630 603.5580}		OR2X2_HVT	saed32hvt_tt.modified_lef/OR2X2_HVT			
