label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_shape_11	3	PATH_13_104390	shape	M2	{735.7400 332.0280} {736.5560 332.0840}	n6576			detail_route		n6576
offgrid_error_12	0	11	drc_error		{780.2790 335.2990} {780.3290 335.5010}	NA	NA	NA	NA	NA	NA
drc_object_12	1	n2871	net		{780.2490 335.2690} {798.9030 337.5590}						
near_cell_12	1	u_ibex_top_u_ibex_core_add_x_422/U49	cell		{777.3460 335.9780} {779.4620 337.7810}		HADDX1_HVT	saed32hvt_tt.modified_lef/HADDX1_HVT			
near_cell_12	2	u_ibex_top_u_ibex_core_add_x_422/U50	cell		{780.3860 332.6340} {782.5020 334.4370}		HADDX1_HVT	saed32hvt_tt.modified_lef/HADDX1_HVT			
near_cell_12	3	U7811	cell		{780.7970 335.9780} {782.5470 337.7950}		AO22X1_HVT	saed32hvt_tt.modified_lef/AO22X1_HVT			
near_cell_12	4	u_ibex_top_u_ibex_core_if_stage_i_instr_rdata_id_o_reg_14_	cell		{775.3250 332.6340} {780.1150 334.4370}		DFFX2_HVT	saed32hvt_tt.modified_lef/DFFX2_HVT			
near_pin_12	1	U2900/A1	pin	M1 CO	{780.4910 335.1930} {780.6630 335.3770}	u_ibex_top_u_ibex_core_id_stage_i_imm_u_type[15]					
near_pin_12	2	U2900/VSS	pin	M1 CO	{779.3920 335.6210} {780.9120 336.0380}	VSS					
near_shape_12	1	PATH_25_49	shape	M8	{779.5000 10.0000} {780.5000 860.9840}	VSS			stripe		VSS
near_shape_12	2	PATH_13_102	shape	M2	{779.8000 10.0000} {780.2000 860.9840}	VSS			stripe		VSS
near_shape_12	3	PATH_15_33534	shape	M3	{780.4280 335.5240} {798.8760 335.5800}	n2871			detail_route		n2871
near_via_12	1	VIA_SA_15727	via		{780.5530 335.3450} {780.8150 335.4550}	u_ibex_top_u_ibex_core_id_stage_i_imm_u_type[15]			detail_route	VIA12SQ_C	u_ibex_top_u_ibex_core_id_stage_i_imm_u_type[15]
offgrid_error_13	0	12	drc_error		{743.1910 343.2030} {743.2410 343.4050}	NA	NA	NA	NA	NA	NA
drc_object_13	1	n6821	net		{743.0970 339.4720} {748.9570 405.3750}						
near_cell_13	1	u_ibex_top_u_ibex_core_cs_registers_i_u_dscratch0_csr_rdata_q_reg_14_	cell		{737.9330 340.9230} {742.4190 342.7260}		DFFARX1_HVT	saed32hvt_tt.modified_lef/DFFARX1_HVT			
near_cell_13	2	u_ibex_top_u_ibex_core_cs_registers_i_u_mscratch_csr_rdata_q_reg_10_	cell		{738.5410 344.2670} {743.0270 346.0700}		DFFARX1_HVT	saed32hvt_tt.modified_lef/DFFARX1_HVT			
near_cell_13	3	u_ibex_top_u_ibex_core_id_stage_i_controller_i_store_err_q_reg	cell		{742.7970 344.2670} {747.2830 346.0700}		DFFARX1_HVT	saed32hvt_tt.modified_lef/DFFARX1_HVT			
near_cell_13	4	U3020	cell		{743.7090 340.9090} {745.4590 342.7260}		AO21X1_HVT	saed32hvt_tt.modified_lef/AO21X1_HVT			
near_pin_13	1	U8321/A1	pin	M1 CO	{742.8570 343.3270} {743.0290 343.5110}	u_ibex_top_u_ibex_core_load_store_unit_i_data_we_q					
near_pin_13	2	U8321/VSS	pin	M1 CO	{742.6080 342.6660} {744.1280 343.0830}	VSS					
near_shape_13	1	PATH_15_39351	shape	M3	{743.3400 343.1240} {743.8520 343.1800}	n6821			detail_route		n6821
offgrid_error_14	0	14	drc_error		{747.7510 423.4590} {747.8010 423.6610}	NA	NA	NA	NA	NA	NA
drc_object_14	1	n4612	net		{747.1130 423.4290} {749.0470 426.1990}						
near_cell_14	1	U4957	cell		{749.0290 424.5230} {750.3220 426.3260}		NAND3X0_HVT	saed32hvt_tt.modified_lef/NAND3X0_HVT			
near_cell_14	2	U5111	cell		{747.9650 424.5230} {749.2580 426.3260}		NAND3X0_HVT	saed32hvt_tt.modified_lef/NAND3X0_HVT			
near_cell_14	3	U5426	cell		{746.2930 424.5090} {748.0430 426.3260}		AO21X1_HVT	saed32hvt_tt.modified_lef/AO21X1_HVT			
near_cell_14	4	U8695	cell		{744.9250 424.5230} {746.5230 426.3260}		OR2X1_HVT	saed32hvt_tt.modified_lef/OR2X1_HVT			
near_cell_14	5	U8892	cell		{749.0290 422.9220} {750.3220 424.7250}		NAND3X0_HVT	saed32hvt_tt.modified_lef/NAND3X0_HVT			
near_cell_14	6	U7598	cell		{744.9250 422.9220} {747.1310 424.7390}		AO221X2_HVT	saed32hvt_tt.modified_lef/AO221X2_HVT			
near_pin_14	1	U5112/A1	pin	M1 CO	{747.4170 423.5830} {747.5890 423.7670}	u_ibex_top_u_ibex_core_id_stage_i_controller_i_ctrl_fsm_cs[0]					
near_pin_14	2	U5112/VSS	pin	M1 CO	{747.1680 422.9220} {748.6880 423.3390}	VSS					
near_shape_14	1	PATH_15_40267	shape	M3	{746.0760 423.3800} {749.1720 423.4360}	n7446			detail_route		n7446
near_shape_14	2	PATH_13_97611	shape	M2	{747.7480 423.5320} {747.8040 425.2600}	n4612			detail_route		n4612
offgrid_error_15	0	15	drc_error		{762.6470 459.0270} {762.6970 459.2290}	NA	NA	NA	NA	NA	NA
drc_object_15	1	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]	net		{761.3390 438.1260} {768.3510 463.8190}						
near_cell_15	1	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_reg_1__17_	cell		{763.7730 457.9630} {767.9550 459.7660}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_15	2	U7556	cell		{759.9730 456.3620} {762.1790 458.1790}		AO222X1_HVT	saed32hvt_tt.modified_lef/AO222X1_HVT			
near_cell_15	3	U7560	cell		{759.9730 459.7060} {762.1790 461.5230}		AO222X1_HVT	saed32hvt_tt.modified_lef/AO222X1_HVT			
near_pin_15	1	U6115/A1	pin	M1 CO	{762.3130 458.9210} {762.4850 459.1050}	n54907					
near_pin_15	2	U6115/VSS	pin	M1 CO	{762.0640 459.3490} {763.7360 459.7660}	VSS					
near_shape_15	1	PATH_13_542048	shape	M2	{762.6440 459.1000} {763.1560 459.1560}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]			detail_route		u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
near_via_15	1	VIA_SA_15718	via		{762.1610 459.0730} {762.4230 459.1830}	n54907			detail_route	VIA12SQ_C	n54907
offgrid_error_16	0	16	drc_error		{791.2230 452.3390} {791.2730 452.5410}	NA	NA	NA	NA	NA	NA
