net	full_name	layer	shape_use	bbox
VDD	PATH_11_366	M1	lib_cell_pin_connect	{20.0000 631.9220} {851.2880 631.9820}
VDD	PATH_11_364	M1	lib_cell_pin_connect	{20.0000 628.5780} {851.2880 628.6380}
VDD	PATH_11_362	M1	lib_cell_pin_connect	{20.0000 625.2340} {851.2880 625.2940}
VDD	PATH_11_360	M1	lib_cell_pin_connect	{20.0000 621.8900} {851.2880 621.9500}
VDD	PATH_11_358	M1	lib_cell_pin_connect	{20.0000 618.5460} {851.2880 618.6060}
VDD	PATH_11_356	M1	lib_cell_pin_connect	{20.0000 615.2020} {851.2880 615.2620}
VDD	PATH_11_354	M1	lib_cell_pin_connect	{20.0000 611.8580} {851.2880 611.9180}
VDD	PATH_11_352	M1	lib_cell_pin_connect	{20.0000 608.5140} {851.2880 608.5740}
VDD	PATH_11_350	M1	lib_cell_pin_connect	{20.0000 605.1700} {851.2880 605.2300}
VDD	PATH_11_348	M1	lib_cell_pin_connect	{20.0000 601.8260} {851.2880 601.8860}
VDD	PATH_11_346	M1	lib_cell_pin_connect	{20.0000 598.4820} {851.2880 598.5420}
VDD	PATH_11_344	M1	lib_cell_pin_connect	{20.0000 595.1380} {851.2880 595.1980}
VDD	PATH_11_342	M1	lib_cell_pin_connect	{20.0000 591.7940} {851.2880 591.8540}
VDD	PATH_11_340	M1	lib_cell_pin_connect	{20.0000 588.4500} {851.2880 588.5100}
VDD	PATH_11_338	M1	lib_cell_pin_connect	{20.0000 585.1060} {851.2880 585.1660}
VDD	PATH_11_336	M1	lib_cell_pin_connect	{20.0000 581.7620} {851.2880 581.8220}
VDD	PATH_11_334	M1	lib_cell_pin_connect	{20.0000 578.4180} {851.2880 578.4780}
VDD	PATH_11_332	M1	lib_cell_pin_connect	{20.0000 575.0740} {851.2880 575.1340}
VDD	PATH_11_330	M1	lib_cell_pin_connect	{20.0000 571.7300} {851.2880 571.7900}
VDD	PATH_11_328	M1	lib_cell_pin_connect	{20.0000 568.3860} {851.2880 568.4460}
VDD	PATH_11_326	M1	lib_cell_pin_connect	{20.0000 565.0420} {851.2880 565.1020}
VDD	PATH_11_324	M1	lib_cell_pin_connect	{20.0000 561.6980} {851.2880 561.7580}
VDD	PATH_11_322	M1	lib_cell_pin_connect	{20.0000 558.3540} {851.2880 558.4140}
VDD	PATH_11_320	M1	lib_cell_pin_connect	{20.0000 555.0100} {851.2880 555.0700}
VDD	PATH_11_318	M1	lib_cell_pin_connect	{20.0000 551.6660} {851.2880 551.7260}
VDD	PATH_11_316	M1	lib_cell_pin_connect	{20.0000 548.3220} {851.2880 548.3820}
VDD	PATH_11_314	M1	lib_cell_pin_connect	{20.0000 544.9780} {851.2880 545.0380}
VDD	PATH_11_312	M1	lib_cell_pin_connect	{20.0000 541.6340} {851.2880 541.6940}
VDD	PATH_11_310	M1	lib_cell_pin_connect	{20.0000 538.2900} {851.2880 538.3500}
VDD	PATH_11_308	M1	lib_cell_pin_connect	{20.0000 534.9460} {851.2880 535.0060}
